RA,Fase,Turma,Nome,Data de Nasc,Idade,Gênero,Ano ingresso,Instituição de ensino,Pedra,INDE,Nº Av,IAA,IEG,IPS,Rec Psicologia,IDA,Mat,Por,Ing,Indicado,Atingiu PV,IPV,IAN,Fase Ideal,Defasagem,IPP,Ano_Referencia,Instituicao_cat,Fase_num,Indicado_flag,Atingiu_PV_flag,nivel_risco,faixa_IEG,faixa_IAA,faixa_IPS,faixa_INDE
RA-1,7,A,Aluno-1,2003-01-01,19.0,Feminino,2016,Escola Pública,Quartzo,5.783,4.0,8.3,4.1,5.6,Requer avaliação,4.0,2.7,3.5,6.0,Sim,Não,7.278,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,0.0,Risco moderado,Baixo,Média,Baixo,Baixo
RA-2,7,A,Aluno-2,2005-01-01,17.0,Feminino,2017,Rede Decisão,Ametista,7.055,4.0,8.8,5.2,6.3,Sem limitações,6.8,6.3,4.5,9.7,Não,Não,6.778,10.0,Fase 7 (3º EM),0,,2022,Outros,7,0.0,0.0,Sem risco,Baixo,Média,Médio,Médio
RA-3,7,A,Aluno-3,2005-01-01,17.0,Feminino,2016,Rede Decisão,Ágata,6.591,4.0,0.0,7.9,5.6,Sem limitações,5.6,5.8,4.0,6.9,Não,Não,7.556,10.0,Fase 7 (3º EM),0,,2022,Outros,7,0.0,0.0,Sem risco,Médio,Baixa,Baixo,Baixo
RA-4,7,A,Aluno-4,2005-01-01,17.0,Masculino,2017,Rede Decisão,Quartzo,5.951,4.0,8.8,4.5,5.6,Requer avaliação,5.0,2.8,3.5,8.7,Não,Não,5.278,10.0,Fase 7 (3º EM),0,,2022,Outros,7,0.0,0.0,Sem risco,Baixo,Média,Baixo,Baixo
RA-5,7,A,Aluno-5,2005-01-01,17.0,Feminino,2016,Rede Decisão,Ametista,7.427,4.0,7.9,8.6,5.6,Requer avaliação,5.2,7.0,2.9,5.7,Não,Não,7.389,10.0,Fase 7 (3º EM),0,,2022,Outros,7,0.0,0.0,Sem risco,Médio,Baixa,Baixo,Médio
RA-6,7,A,Aluno-6,2004-01-01,18.0,Feminino,2021,Escola Pública,Quartzo,5.848,4.0,7.9,4.5,7.5,Sem limitações,3.3,2.3,5.3,2.3,Sim,Não,7.222,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-7,7,A,Aluno-7,2004-01-01,18.0,Masculino,2017,Rede Decisão,Ágata,6.818,4.0,0.0,8.4,7.5,Sem limitações,7.6,8.2,5.7,9.0,Não,Não,7.667,5.0,Fase 8 (Universitários),-1,,2022,Outros,7,0.0,0.0,Risco moderado,Médio,Baixa,Médio,Baixo
RA-8,7,A,Aluno-8,2002-01-01,20.0,Feminino,2018,Escola Pública,Quartzo,4.786,4.0,7.1,4.6,6.3,Requer avaliação,1.6,1.2,0.7,2.9,Não,Não,6.278,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,0.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-9,7,A,Aluno-9,2004-01-01,18.0,Feminino,2019,Escola Pública,Topázio,8.109,4.0,8.8,9.5,7.5,Sem limitações,6.7,5.5,6.0,8.7,Sim,Sim,9.5,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,1.0,Risco moderado,Alto,Média,Médio,Alto
RA-10,7,A,Aluno-10,2004-01-01,18.0,Feminino,2021,Escola Pública,Quartzo,5.784,4.0,8.3,5.2,5.0,Requer avaliação,4.1,3.3,2.6,6.4,Não,Não,7.056,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,0.0,0.0,Risco moderado,Baixo,Média,Baixo,Baixo
RA-11,7,A,Aluno-11,2004-01-01,18.0,Feminino,2016,Escola Pública,Quartzo,5.323,4.0,9.2,4.2,5.0,Requer avaliação,3.0,1.8,2.5,4.5,Não,Não,6.389,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,0.0,0.0,Risco moderado,Baixo,Alta,Baixo,Baixo
RA-12,7,A,Aluno-12,2005-01-01,17.0,Feminino,2020,Escola Pública,Quartzo,4.832,4.0,0.0,4.0,6.9,Sem limitações,1.5,2.7,1.1,0.7,Sim,Não,6.389,10.0,Fase 7 (3º EM),0,,2022,Pública,7,1.0,0.0,Sem risco,Baixo,Baixa,Médio,Baixo
RA-13,7,A,Aluno-13,2004-01-01,18.0,Masculino,2016,Escola Pública,Ágata,6.902,4.0,7.9,7.4,7.5,Sem limitações,4.7,3.5,5.5,5.2,Sim,Não,8.056,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-14,7,D,Aluno-14,2001-01-01,21.0,Masculino,2022,Escola Pública,Ágata,6.793,4.0,7.9,8.3,7.5,Não atendido,4.0,8.0,0.0,,Sim,Não,7.75,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,0.0,Risco moderado,Médio,Baixa,Médio,Baixo
RA-15,7,D,Aluno-15,2004-01-01,18.0,Masculino,2022,Escola Pública,Ametista,7.783,4.0,8.8,10.0,7.5,Não atendido,7.3,8.0,6.5,,Sim,Não,7.292,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,0.0,Risco moderado,Alto,Média,Médio,Alto
RA-16,7,D,Aluno-16,2003-01-01,19.0,Masculino,2022,Escola Pública,Ágata,6.112,4.0,7.9,8.3,5.0,Requer avaliação,3.5,7.0,0.0,,Sim,Não,6.333,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,0.0,Risco moderado,Médio,Baixa,Baixo,Baixo
RA-17,7,D,Aluno-17,2002-01-01,20.0,Masculino,2022,Escola Pública,Topázio,8.068,4.0,8.8,10.0,7.5,Não atendido,7.8,9.0,6.5,,Sim,Não,8.292,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,0.0,Risco moderado,Alto,Média,Médio,Alto
RA-18,7,D,Aluno-18,2003-01-01,19.0,Masculino,2022,Escola Pública,Ametista,7.226,4.0,6.3,8.7,6.3,Requer avaliação,9.0,9.0,9.0,,Sim,Não,6.875,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,0.0,Risco moderado,Médio,Baixa,Médio,Médio
RA-19,7,D,Aluno-19,2003-01-01,19.0,Feminino,2022,Escola Pública,Ametista,7.665,4.0,7.9,9.5,7.5,Sem limitações,8.0,7.0,9.0,,Sim,Não,7.0,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,0.0,Risco moderado,Alto,Baixa,Médio,Médio
RA-20,7,D,Aluno-20,2003-01-01,19.0,Feminino,2022,Escola Pública,Ametista,7.535,4.0,7.1,10.0,6.3,Não atendido,7.8,9.0,6.5,,Sim,Não,7.167,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,0.0,Risco moderado,Alto,Baixa,Médio,Médio
RA-21,7,D,Aluno-21,2004-01-01,18.0,Masculino,2022,Escola Pública,Ágata,6.945,4.0,9.6,9.2,7.5,Não atendido,3.8,7.0,0.5,,Sim,Não,7.25,5.0,Fase 8 (Universitários),-1,,2022,Pública,7,1.0,0.0,Risco moderado,Alto,Alta,Médio,Médio
RA-22,6,A,Aluno-22,2005-01-01,17.0,Feminino,2019,Rede Decisão,Ametista,7.474,4.0,8.3,7.4,8.1,Sem limitações,6.7,9.0,3.1,7.8,Não,Sim,8.833,5.0,Fase 7 (3º EM),-1,,2022,Outros,6,0.0,1.0,Risco moderado,Baixo,Média,Alto,Médio
RA-23,6,A,Aluno-23,2005-01-01,17.0,Masculino,2021,Escola Pública,Ametista,7.677,4.0,8.3,8.2,8.1,Sem limitações,6.7,7.2,4.7,8.2,Sim,Sim,8.556,5.0,Fase 7 (3º EM),-1,,2022,Pública,6,1.0,1.0,Risco moderado,Médio,Média,Alto,Médio
RA-24,6,A,Aluno-24,2005-01-01,17.0,Feminino,2021,Rede Decisão,Topázio,8.087,4.0,9.2,7.9,6.9,Requer avaliação,8.6,10.0,6.3,9.7,Não,Sim,9.111,5.0,Fase 7 (3º EM),-1,,2022,Outros,6,0.0,1.0,Risco moderado,Médio,Alta,Médio,Alto
RA-25,6,A,Aluno-25,2005-01-01,17.0,Feminino,2021,Escola Pública,Ametista,7.979,4.0,8.3,8.3,8.8,Sem limitações,6.9,9.2,3.8,7.7,Sim,Sim,9.667,5.0,Fase 7 (3º EM),-1,,2022,Pública,6,1.0,1.0,Risco moderado,Médio,Média,Alto,Alto
RA-26,6,A,Aluno-26,2005-01-01,17.0,Masculino,2022,Escola Pública,Topázio,8.677,4.0,9.6,8.8,10.0,Sem limitações,8.0,9.5,4.4,10.0,Sim,Sim,10.0,5.0,Fase 7 (3º EM),-1,,2022,Pública,6,1.0,1.0,Risco moderado,Médio,Alta,Alto,Alto
RA-27,6,A,Aluno-27,2005-01-01,17.0,Masculino,2016,Rede Decisão,Ametista,7.124,4.0,0.0,7.6,8.1,Sem limitações,8.0,7.7,6.3,10.0,Não,Sim,9.111,5.0,Fase 7 (3º EM),-1,,2022,Outros,6,0.0,1.0,Risco moderado,Baixo,Baixa,Alto,Médio
RA-28,6,A,Aluno-28,2005-01-01,17.0,Feminino,2019,Escola Pública,Ágata,6.242,4.0,7.9,6.1,7.5,Requer avaliação,5.0,8.2,1.5,5.3,Não,Não,6.333,5.0,Fase 7 (3º EM),-1,,2022,Pública,6,0.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-29,6,A,Aluno-29,2005-01-01,17.0,Masculino,2022,Escola Pública,Quartzo,4.985,4.0,0.0,4.0,8.8,Requer avaliação,3.7,6.3,1.1,3.8,Sim,Não,7.611,5.0,Fase 7 (3º EM),-1,,2022,Pública,6,1.0,0.0,Risco moderado,Baixo,Baixa,Alto,Baixo
RA-30,6,A,Aluno-30,2006-01-01,16.0,Feminino,2021,Escola Pública,Ametista,7.605,4.0,8.8,6.4,7.5,Sem limitações,7.5,8.5,4.4,9.7,Não,Não,7.333,10.0,Fase 6 (2º EM),0,,2022,Pública,6,0.0,0.0,Sem risco,Baixo,Média,Médio,Médio
RA-31,6,A,Aluno-31,2005-01-01,17.0,Feminino,2019,Rede Decisão,Topázio,8.843,4.0,10.0,9.5,9.4,Sem limitações,8.0,9.0,5.7,9.3,Não,Sim,10.0,5.0,Fase 7 (3º EM),-1,,2022,Outros,6,0.0,1.0,Risco moderado,Alto,Alta,Alto,Alto
RA-32,6,A,Aluno-32,2006-01-01,16.0,Feminino,2018,Rede Decisão,Ametista,7.37,4.0,8.8,5.2,8.8,Sem limitações,6.1,5.7,3.6,8.9,Não,Não,7.944,10.0,Fase 6 (2º EM),0,,2022,Outros,6,0.0,0.0,Sem risco,Baixo,Média,Alto,Médio
RA-33,6,A,Aluno-33,2005-01-01,17.0,Feminino,2020,Escola Pública,Quartzo,4.952,4.0,0.0,4.6,7.5,Sem limitações,4.8,9.0,1.6,3.7,Não,Não,6.0,5.0,Fase 7 (3º EM),-1,,2022,Pública,6,0.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-34,6,A,Aluno-34,2005-01-01,17.0,Masculino,2016,Rede Decisão,Ágata,6.259,4.0,9.6,4.8,8.1,Sem limitações,3.8,4.7,4.0,2.8,Não,Não,7.278,5.0,Fase 7 (3º EM),-1,,2022,Outros,6,0.0,0.0,Risco moderado,Baixo,Alta,Alto,Baixo
RA-35,6,A,Aluno-35,2005-01-01,17.0,Feminino,2019,Rede Decisão,Topázio,8.965,4.0,10.0,9.6,9.4,Sem limitações,8.5,9.0,7.1,9.3,Não,Sim,10.0,5.0,Fase 7 (3º EM),-1,,2022,Outros,6,0.0,1.0,Risco moderado,Alto,Alta,Alto,Alto
RA-36,6,A,Aluno-36,2005-01-01,17.0,Feminino,2019,Rede Decisão,Ametista,7.876,4.0,9.2,9.0,6.9,Sem limitações,6.8,8.5,4.3,7.8,Não,Sim,8.944,5.0,Fase 7 (3º EM),-1,,2022,Outros,6,0.0,1.0,Risco moderado,Médio,Alta,Médio,Alto
RA-37,6,A,Aluno-37,2005-01-01,17.0,Feminino,2019,Rede Decisão,Quartzo,4.95,4.0,0.0,5.4,5.0,Sem limitações,5.9,2.3,5.3,10.0,Não,Não,5.222,5.0,Fase 7 (3º EM),-1,,2022,Outros,6,0.0,0.0,Risco moderado,Baixo,Baixa,Baixo,Baixo
RA-38,6,A,Aluno-38,2005-01-01,17.0,Feminino,2017,Rede Decisão,Topázio,8.523,4.0,9.2,8.9,7.5,Não indicado,8.6,9.0,7.0,9.7,Não,Sim,9.833,5.0,Fase 7 (3º EM),-1,,2022,Outros,6,0.0,1.0,Risco moderado,Médio,Alta,Médio,Alto
RA-39,6,A,Aluno-39,2006-01-01,16.0,Feminino,2017,Rede Decisão,Ágata,6.033,4.0,0.0,4.8,6.9,Requer avaliação,6.9,7.7,5.1,7.8,Não,Não,6.111,10.0,Fase 6 (2º EM),0,,2022,Outros,6,0.0,0.0,Sem risco,Baixo,Baixa,Médio,Baixo
RA-40,5,A,Aluno-40,2006-01-01,16.0,Feminino,2016,Rede Decisão,Ametista,7.203,3.0,7.9,7.8,7.5,Sem limitações,6.8,4.7,7.3,8.4,Não,Não,7.75,5.0,Fase 6 (2º EM),-1,,2022,Outros,5,0.0,0.0,Risco moderado,Baixo,Baixa,Médio,Médio
RA-41,5,A,Aluno-41,2005-01-01,17.0,Masculino,2018,Escola Pública,Quartzo,5.581,3.0,9.2,6.1,5.0,Requer avaliação,5.6,6.3,2.5,8.0,Não,Não,4.375,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Alta,Baixo,Baixo
RA-42,5,A,Aluno-42,2007-01-01,15.0,Masculino,2019,Rede Decisão,Ágata,6.72,3.0,8.3,7.9,5.6,Requer avaliação,4.8,3.7,4.5,6.2,Não,Não,6.083,10.0,Fase 5 (1º EM),0,,2022,Outros,5,0.0,0.0,Sem risco,Médio,Média,Baixo,Baixo
RA-43,5,A,Aluno-43,2006-01-01,16.0,Feminino,2019,Escola Pública,Quartzo,5.486,3.0,6.3,6.5,5.6,Requer avaliação,4.3,4.0,5.8,3.2,Não,Não,5.958,5.0,Fase 6 (2º EM),-1,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Baixa,Baixo,Baixo
RA-44,5,A,Aluno-44,2005-01-01,17.0,Feminino,2021,Escola Pública,Quartzo,5.542,3.0,5.0,5.9,7.5,Sem limitações,3.0,2.3,3.5,3.2,Sim,Não,7.292,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,1.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-45,5,A,Aluno-45,2007-01-01,15.0,Feminino,2019,Rede Decisão,Ametista,7.591,3.0,7.9,8.9,5.6,Requer avaliação,6.8,6.3,5.2,8.8,Não,Não,7.417,10.0,Fase 5 (1º EM),0,,2022,Outros,5,0.0,0.0,Sem risco,Médio,Baixa,Baixo,Médio
RA-46,5,A,Aluno-46,2005-01-01,17.0,Feminino,2022,Escola Pública,Ágata,6.048,3.0,8.8,8.4,6.3,Sem limitações,2.1,2.8,2.8,0.7,Não,Não,7.083,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,0.0,0.0,Risco moderado,Médio,Média,Médio,Baixo
RA-47,5,A,Aluno-47,2005-01-01,17.0,Feminino,2022,Escola Pública,Quartzo,5.677,3.0,7.9,6.3,7.5,Sem limitações,2.1,2.5,2.2,1.5,Não,Não,7.042,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-48,5,A,Aluno-48,2007-01-01,15.0,Feminino,2017,Rede Decisão,Ametista,8.006,3.0,6.7,8.4,7.5,Sem limitações,8.1,6.7,8.0,9.5,Não,Sim,8.5,10.0,Fase 5 (1º EM),0,,2022,Outros,5,0.0,1.0,Sem risco,Médio,Baixa,Médio,Alto
RA-49,5,A,Aluno-49,2005-01-01,17.0,Feminino,2022,Escola Pública,Ágata,6.304,3.0,7.5,7.4,7.5,Sem limitações,3.9,1.5,4.2,6.2,Não,Não,7.042,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-50,5,A,Aluno-50,2004-01-01,18.0,Feminino,2022,Escola Pública,Ametista,7.138,3.0,7.5,8.4,7.5,Sem limitações,7.8,6.5,7.3,9.7,Não,Não,7.542,2.5,Fase 8 (Universitários),-3,,2022,Pública,5,0.0,0.0,Alto risco,Médio,Baixa,Médio,Médio
RA-51,5,B,Aluno-51,2005-01-01,17.0,Feminino,2022,Escola Pública,Ágata,6.488,3.0,8.8,7.6,7.5,Não atendido,5.0,4.5,4.5,6.0,Não,Não,6.5,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Média,Médio,Baixo
RA-52,5,B,Aluno-52,2009-01-01,13.0,Masculino,2018,Rede Decisão,Ametista,7.861,3.0,9.6,8.9,7.5,Não atendido,6.2,3.3,6.3,8.8,Não,Não,7.5,10.0,Fase 3 (7º e 8º ano),2,,2022,Outros,5,0.0,0.0,Sem risco,Médio,Alta,Médio,Alto
RA-53,5,B,Aluno-53,2005-01-01,17.0,Masculino,2022,Escola Pública,Ágata,6.725,3.0,9.2,7.0,7.5,Não atendido,7.0,6.0,8.0,,Não,Não,6.458,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Alta,Médio,Baixo
RA-54,5,B,Aluno-54,2006-01-01,16.0,Feminino,2022,Escola Pública,Ágata,6.058,3.0,7.9,6.9,7.5,Não atendido,4.8,3.0,6.5,,Não,Não,6.125,5.0,Fase 6 (2º EM),-1,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-55,5,B,Aluno-55,2006-01-01,16.0,Feminino,2017,Escola Pública,Ágata,6.576,3.0,7.1,7.6,5.6,Requer avaliação,7.5,6.7,7.8,7.9,Não,Não,6.5,5.0,Fase 6 (2º EM),-1,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Baixa,Baixo,Baixo
RA-56,5,B,Aluno-56,2007-01-01,15.0,Feminino,2019,Rede Decisão,Topázio,8.404,3.0,10.0,10.0,7.5,Sem limitações,7.0,4.5,6.5,10.0,Não,Não,8.25,10.0,Fase 5 (1º EM),0,,2022,Outros,5,0.0,0.0,Sem risco,Alto,Alta,Médio,Alto
RA-57,5,B,Aluno-57,2006-01-01,16.0,Masculino,2017,Rede Decisão,Ametista,7.305,3.0,7.1,8.1,5.6,Requer avaliação,8.4,9.0,7.0,9.3,Não,Não,7.875,5.0,Fase 6 (2º EM),-1,,2022,Outros,5,0.0,0.0,Risco moderado,Médio,Baixa,Baixo,Médio
RA-58,5,B,Aluno-58,2007-01-01,15.0,Masculino,2017,Rede Decisão,Topázio,8.136,3.0,9.6,9.2,6.3,Sem limitações,7.2,4.5,8.0,9.0,Não,Não,8.125,10.0,Fase 5 (1º EM),0,,2022,Outros,5,0.0,0.0,Sem risco,Alto,Alta,Médio,Alto
RA-59,5,B,Aluno-59,2005-01-01,17.0,Masculino,2022,Escola Pública,Ametista,7.642,3.0,9.2,9.3,7.5,Não atendido,7.2,7.0,5.7,8.8,Não,Não,7.917,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,0.0,0.0,Risco moderado,Alto,Alta,Médio,Médio
RA-60,5,B,Aluno-60,2004-01-01,18.0,Feminino,2021,Escola Pública,Quartzo,5.537,3.0,6.7,6.0,7.5,Não atendido,4.9,5.0,6.2,3.5,Não,Não,6.167,2.5,Fase 8 (Universitários),-3,,2022,Pública,5,0.0,0.0,Alto risco,Baixo,Baixa,Médio,Baixo
RA-61,5,B,Aluno-61,2007-01-01,15.0,Masculino,2021,Escola Pública,Ametista,7.533,3.0,9.2,7.4,7.5,Não atendido,5.8,1.7,6.3,9.3,Sim,Não,7.875,10.0,Fase 5 (1º EM),0,,2022,Pública,5,1.0,0.0,Sem risco,Baixo,Alta,Médio,Médio
RA-62,5,B,Aluno-62,2005-01-01,17.0,Masculino,2022,Escola Pública,Ametista,7.891,3.0,8.8,9.4,7.5,Não atendido,9.3,8.5,10.0,,Sim,Não,7.25,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,1.0,0.0,Risco moderado,Alto,Média,Médio,Alto
RA-63,5,B,Aluno-63,2006-01-01,16.0,Masculino,2018,Rede Decisão,Topázio,8.282,3.0,8.3,9.1,8.8,Sem limitações,8.7,8.2,8.2,9.7,Não,Sim,9.417,5.0,Fase 6 (2º EM),-1,,2022,Outros,5,0.0,1.0,Risco moderado,Médio,Média,Alto,Alto
RA-64,5,B,Aluno-64,2006-01-01,16.0,Masculino,2019,Escola Pública,Ametista,7.368,3.0,7.1,8.1,8.1,Sem limitações,7.5,4.8,8.2,9.4,Sim,Não,8.25,5.0,Fase 6 (2º EM),-1,,2022,Pública,5,1.0,0.0,Risco moderado,Médio,Baixa,Alto,Médio
RA-65,5,B,Aluno-65,2005-01-01,17.0,Feminino,2022,Escola Pública,Ametista,7.712,3.0,8.3,7.7,7.5,Não atendido,9.3,9.0,9.5,9.5,Sim,Não,7.875,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,1.0,0.0,Risco moderado,Baixo,Média,Médio,Médio
RA-66,5,B,Aluno-66,2005-01-01,17.0,Feminino,2022,Escola Pública,Quartzo,5.665,3.0,7.5,5.6,7.5,Não atendido,4.5,3.0,6.0,,Não,Não,5.917,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-67,5,C,Aluno-67,2006-01-01,16.0,Feminino,2019,Escola Pública,Quartzo,5.195,4.0,5.8,3.0,7.5,Não atendido,3.6,3.0,4.2,3.5,Não,Não,6.889,5.0,Fase 6 (2º EM),-1,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-68,5,C,Aluno-68,2006-01-01,16.0,Masculino,2019,Escola Pública,Ágata,6.438,4.0,8.3,6.0,7.5,Não atendido,4.0,4.7,4.8,2.7,Sim,Não,7.944,5.0,Fase 6 (2º EM),-1,,2022,Pública,5,1.0,0.0,Risco moderado,Baixo,Média,Médio,Baixo
RA-69,5,C,Aluno-69,2006-01-01,16.0,Masculino,2018,Escola Pública,Quartzo,5.718,4.0,8.3,6.1,7.5,Sem limitações,2.5,4.7,2.6,0.3,Não,Não,6.167,5.0,Fase 6 (2º EM),-1,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Média,Médio,Baixo
RA-70,5,C,Aluno-70,2006-01-01,16.0,Feminino,2017,Escola Pública,Quartzo,5.712,4.0,8.8,6.6,5.0,Sem limitações,2.9,5.7,2.9,0.2,Não,Não,6.111,5.0,Fase 6 (2º EM),-1,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Média,Baixo,Baixo
RA-71,5,C,Aluno-71,2005-01-01,17.0,Feminino,2019,Escola Pública,Quartzo,4.332,4.0,7.9,2.0,7.5,Não atendido,1.2,1.3,2.2,0.0,Não,Não,5.833,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-72,5,C,Aluno-72,2005-01-01,17.0,Feminino,2022,Escola Pública,Ametista,7.64,4.0,8.3,7.5,7.5,Não atendido,7.8,7.5,7.8,8.0,Sim,Sim,8.667,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,1.0,1.0,Risco moderado,Baixo,Média,Médio,Médio
RA-73,5,C,Aluno-73,2005-01-01,17.0,Feminino,2022,Escola Pública,Quartzo,5.271,4.0,7.1,3.0,7.5,Não atendido,3.3,4.5,3.0,2.3,Sim,Não,7.278,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,1.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-74,5,C,Aluno-74,2006-01-01,16.0,Masculino,2022,Escola Pública,Quartzo,4.989,4.0,9.6,3.3,7.5,Não atendido,2.0,6.0,0.0,0.0,Não,Não,5.833,5.0,Fase 6 (2º EM),-1,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Alta,Médio,Baixo
RA-75,5,F,Aluno-75,2006-01-01,16.0,Feminino,2022,Escola Pública,Quartzo,3.915,4.0,5.4,3.8,6.3,Sem limitações,0.0,0.0,0.0,,Não,Não,4.625,5.0,Fase 6 (2º EM),-1,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-76,5,F,Aluno-76,2007-01-01,15.0,Feminino,2017,Rede Decisão,Topázio,9.105,4.0,10.0,9.1,8.1,Sem limitações,8.7,9.3,8.3,8.4,Não,Sim,9.292,10.0,Fase 5 (1º EM),0,,2022,Outros,5,0.0,1.0,Sem risco,Médio,Alta,Alto,Alto
RA-77,5,F,Aluno-77,2006-01-01,16.0,Masculino,2019,Escola Pública,Quartzo,3.846,4.0,7.1,2.7,5.0,Não indicado,0.7,0.3,1.8,0.0,Não,Não,4.625,5.0,Fase 6 (2º EM),-1,,2022,Pública,5,0.0,0.0,Risco moderado,Baixo,Baixa,Baixo,Baixo
RA-78,5,F,Aluno-78,2005-01-01,17.0,Masculino,2018,Rede Decisão,Ametista,7.04,4.0,8.3,6.6,5.6,Requer avaliação,7.2,8.7,5.7,7.3,Não,Não,8.0,5.0,Fase 7 (3º EM),-2,,2022,Outros,5,0.0,0.0,Risco moderado,Baixo,Média,Baixo,Médio
RA-79,5,F,Aluno-79,2006-01-01,16.0,Feminino,2018,Rede Decisão,Ágata,6.847,4.0,5.4,6.3,5.6,Requer avaliação,8.9,9.5,7.7,9.5,Não,Não,7.292,5.0,Fase 6 (2º EM),-1,,2022,Outros,5,0.0,0.0,Risco moderado,Baixo,Baixa,Baixo,Baixo
RA-80,5,K,Aluno-80,2006-01-01,16.0,Feminino,2017,Rede Decisão,Ametista,7.29,4.0,9.2,8.3,5.0,Requer avaliação,7.1,6.5,7.7,7.3,Não,Não,7.625,5.0,Fase 6 (2º EM),-1,,2022,Outros,5,0.0,0.0,Risco moderado,Médio,Alta,Baixo,Médio
RA-81,5,K,Aluno-81,2008-01-01,14.0,Feminino,2017,Rede Decisão,Ametista,7.675,4.0,9.2,9.2,5.0,Requer avaliação,6.0,5.5,5.2,7.3,Não,Não,7.458,10.0,Fase 4 (9º ano),1,,2022,Outros,5,0.0,0.0,Sem risco,Alto,Alta,Baixo,Médio
RA-82,5,K,Aluno-82,2005-01-01,17.0,Feminino,2022,Escola Pública,Ágata,6.596,4.0,8.8,6.8,7.5,Não atendido,5.5,6.0,5.0,,Sim,Não,6.417,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,1.0,0.0,Risco moderado,Baixo,Média,Médio,Baixo
RA-83,5,K,Aluno-83,2005-01-01,17.0,Feminino,2022,Escola Pública,Ágata,6.671,4.0,7.9,6.8,7.5,Não atendido,6.8,6.0,7.5,,Sim,Não,5.958,5.0,Fase 7 (3º EM),-2,,2022,Pública,5,1.0,0.0,Risco moderado,Baixo,Baixa,Médio,Baixo
RA-84,5,K,Aluno-84,2005-01-01,17.0,Feminino,2018,Rede Decisão,Ágata,6.682,4.0,7.1,8.8,5.0,Requer avaliação,5.8,5.7,6.5,5.2,Não,Não,6.75,5.0,Fase 7 (3º EM),-2,,2022,Outros,5,0.0,0.0,Risco moderado,Médio,Baixa,Baixo,Baixo
RA-85,5,K,Aluno-85,2007-01-01,15.0,Masculino,2022,Escola Pública,Ágata,6.243,4.0,6.7,7.3,5.0,Requer avaliação,4.3,5.0,3.5,,Não,Não,5.833,10.0,Fase 5 (1º EM),0,,2022,Pública,5,0.0,0.0,Sem risco,Baixo,Baixa,Baixo,Baixo
